waypoint1	waypoint2	distance_m	duration_s
Itmad-ud-Daula, Agra, Uttar Pradesh, India	Kodaikanal Lake, Kodaikanal, Tamil Nadu, India	2401223	125946
Golden Temple, Amritsar, Punjab, India	Marine Drive, Chowpatty, Mumbai, Maharashtra, India	1789767	91064
Virupaksha Temple, Hampi, Karnataka, India	Palolem Beach, Goa, India	365022	23562
Golden Temple, Amritsar, Punjab, India	Konark Sun Temple, Konark, Odisha, India	2154053	117964
Qutub Minar, New Delhi, Delhi, India	Ajanta Caves, Aurangabad, Maharashtra, India	1191191	62731
Humayun's Tomb, New Delhi, Delhi, India	Sabarmati Ashram, Ahmedabad, Gujarat, India	932982	45914
Swaminarayan Akshardham, New Delhi, Delhi, India	Gateway Of India Mumbai, Mumbai, Maharashtra, India	1463071	72561
Qutub Minar, New Delhi, Delhi, India	Khajuraho Temples, Khajuraho, Madhya Pradesh, India	641394	34709
Palace Of Maharana Pratap, Udaipur, Rajasthan, India	Swaminarayan Akshardham, New Delhi, Delhi, India	684871	33802
Konark Sun Temple, Konark, Odisha, India	Marine Drive, Chowpatty, Mumbai, Maharashtra, India	1814248	98591
Palace Of Maharana Pratap, Udaipur, Rajasthan, India	Kanha National Park, Madhya Pradesh, India	945044	55832
Qutub Minar, New Delhi, Delhi, India	Red Fort, Netaji Subhash Marg, Chandni Chowk, New Delhi, Delhi, India	17749	1934
Jaisalmer Fort, Amar Sagar Pol, Jaisalmer, Rajasthan, India	Gateway Of India Mumbai, Mumbai, Maharashtra, India	1071728	54911
Gateway Of India Mumbai, Mumbai, Maharashtra, India	Kaziranga National Park, Kanchanjuri, Assam, India	2813451	162541
Golden Temple, Amritsar, Punjab, India	Gateway Of India Mumbai, Mumbai, Maharashtra, India	1790390	91138
Kanha National Park, Madhya Pradesh, India	Kaziranga National Park, Kanchanjuri, Assam, India	1822821	114911
Golden Temple, Amritsar, Punjab, India	Kanha National Park, Madhya Pradesh, India	1403648	76696
Dal Lake, Rainawari, Srinagar	Ajanta Caves, Aurangabad, Maharashtra, India	2000727	116807
Mehrangarh Fort, Jodhpur, Rajasthan, India	Ganges, Katesar, Varanasi, Uttar Pradesh, India	1180485	62778
Itmad-ud-Daula, Agra, Uttar Pradesh, India	India Backwaters, Kochi, Kerala, India	2483059	130433
Ajanta Caves, Aurangabad, Maharashtra, India	Marine Drive, Chowpatty, Mumbai, Maharashtra, India	453359	26806
Itmad-ud-Daula, Agra, Uttar Pradesh, India	Ganges, Katesar, Varanasi, Uttar Pradesh, India	608203	31355
Swaminarayan Akshardham, New Delhi, Delhi, India	Palolem Beach, Goa, India	1910357	108059
Dal Lake, Rainawari, Srinagar	Golconda Fort, Fort Road, Hyderabad, Telangana, India	2398664	138903
Palace Of Maharana Pratap, Udaipur, Rajasthan, India	Agra Fort, Agra, Uttar Pradesh, India	642213	34203
Khajuraho Temples, Khajuraho, Madhya Pradesh, India	Agra Fort, Agra, Uttar Pradesh, India	416748	26276
Ajanta Caves, Aurangabad, Maharashtra, India	Charminar, Hyderabad, Telangana, India	579954	38856
Qutub Minar, New Delhi, Delhi, India	Itmad-ud-Daula, Agra, Uttar Pradesh, India	207871	9259
Mani Bhavan Gandhi Sanghralaya, Laburnum Road, Papanas Wadi, Mumbai, Maharashtra, India	Charminar, Hyderabad, Telangana, India	724067	41542
Amer Fort and Palace, Jaipur, Rajasthan, India	Mehrangarh Fort, Jodhpur, Rajasthan, India	346996	19202
Solang Valley, Burwa, Himachal Pradesh, India	Amer Fort and Palace, Jaipur, Rajasthan, India	815580	49119
Mehrangarh Fort, Jodhpur, Rajasthan, India	Kodaikanal Lake, Kodaikanal, Tamil Nadu, India	2414614	123000
Palace Of Maharana Pratap, Udaipur, Rajasthan, India	Khajuraho Temples, Khajuraho, Madhya Pradesh, India	777252	42170
Solang Valley, Burwa, Himachal Pradesh, India	Golconda Fort, Fort Road, Hyderabad, Telangana, India	2104359	120972
Palace Of Maharana Pratap, Udaipur, Rajasthan, India	Taj Mahal, Agra, Uttar Pradesh, India	647011	34879
Marina Beach, Chennai, Tamil Nadu, India	Swaminarayan Akshardham, New Delhi, Delhi, India	2176620	114616
Humayun's Tomb, New Delhi, Delhi, India	Marina Beach, Chennai, Tamil Nadu, India	2179787	114922
Darjeeling Rangeet Valley Passenger Ropeway, Darjeeling, West Bengal, India	Taj Mahal, Agra, Uttar Pradesh, India	1309337	76215
Red Fort, Netaji Subhash Marg, Chandni Chowk, New Delhi, Delhi, India	Taj Mahal, Agra, Uttar Pradesh, India	212987	9980
Kanha National Park, Madhya Pradesh, India	Maharajah's Palace, Mysore, Karnataka, India	1496237	78384
Humayun's Tomb, New Delhi, Delhi, India	Charminar, Hyderabad, Telangana, India	1549609	82423
Gandhi Smriti, New Delhi, Delhi, India	Red Fort, Netaji Subhash Marg, Chandni Chowk, New Delhi, Delhi, India	3380	561
Palolem Beach, Goa, India	Kodaikanal Lake, Kodaikanal, Tamil Nadu, India	1035688	56856
Humayun's Tomb, New Delhi, Delhi, India	Konark Sun Temple, Konark, Odisha, India	1696705	91575
Dal Lake, Rainawari, Srinagar	Mani Bhavan Gandhi Sanghralaya, Laburnum Road, Papanas Wadi, Mumbai, Maharashtra, India	2255399	125004
Golden Temple, Amritsar, Punjab, India	Mani Bhavan Gandhi Sanghralaya, Laburnum Road, Papanas Wadi, Mumbai, Maharashtra, India	1786625	90543
Kaziranga National Park, Kanchanjuri, Assam, India	Darjeeling Rangeet Valley Passenger Ropeway, Darjeeling, West Bengal, India	659582	42052
India Backwaters, Kochi, Kerala, India	Darjeeling Rangeet Valley Passenger Ropeway, Darjeeling, West Bengal, India	2918223	165183
Humayun's Tomb, New Delhi, Delhi, India	Swaminarayan Akshardham, New Delhi, Delhi, India	9919	1037
Gandhi Smriti, New Delhi, Delhi, India	Solang Valley, Burwa, Himachal Pradesh, India	560575	37993
Golconda Fort, Fort Road, Hyderabad, Telangana, India	Ganges, Katesar, Varanasi, Uttar Pradesh, India	1245794	76165
Humayun's Tomb, New Delhi, Delhi, India	Kaziranga National Park, Kanchanjuri, Assam, India	1939205	114020
Hawa Mahal, Hawa Mahal Road, Badi Choupad, Pink City, Jaipur, Rajasthan, India	Sabarmati Ashram, Ahmedabad, Gujarat, India	676464	33563
Swaminarayan Akshardham, New Delhi, Delhi, India	Kodaikanal Lake, Kodaikanal, Tamil Nadu, India	2598919	134106
Gandhi Smriti, New Delhi, Delhi, India	Kanha National Park, Madhya Pradesh, India	948240	50362
Ajanta Caves, Aurangabad, Maharashtra, India	Darjeeling Rangeet Valley Passenger Ropeway, Darjeeling, West Bengal, India	1885551	117854
Kanha National Park, Madhya Pradesh, India	Mani Bhavan Gandhi Sanghralaya, Laburnum Road, Papanas Wadi, Mumbai, Maharashtra, India	1110505	62604
Virupaksha Temple, Hampi, Karnataka, India	Ajanta Caves, Aurangabad, Maharashtra, India	701089	44414
Kanha National Park, Madhya Pradesh, India	Marine Drive, Chowpatty, Mumbai, Maharashtra, India	1110478	63088
Jaisalmer Fort, Amar Sagar Pol, Jaisalmer, Rajasthan, India	Marina Beach, Chennai, Tamil Nadu, India	2381705	117647
Hawa Mahal, Hawa Mahal Road, Badi Choupad, Pink City, Jaipur, Rajasthan, India	Ajanta Caves, Aurangabad, Maharashtra, India	946449	50468
Jog Falls, Karnataka, India	Taj Mahal, Agra, Uttar Pradesh, India	1782568	109846
Solang Valley, Burwa, Himachal Pradesh, India	Maharajah's Palace, Mysore, Karnataka, India	2835580	155836
Mani Bhavan Gandhi Sanghralaya, Laburnum Road, Papanas Wadi, Mumbai, Maharashtra, India	Agra Fort, Agra, Uttar Pradesh, India	1418279	72548
Humayun's Tomb, New Delhi, Delhi, India	Darjeeling Rangeet Valley Passenger Ropeway, Darjeeling, West Bengal, India	1418851	82315
Dal Lake, Rainawari, Srinagar	Virupaksha Temple, Hampi, Karnataka, India	2674764	155505
Palace Of Maharana Pratap, Udaipur, Rajasthan, India	Golconda Fort, Fort Road, Hyderabad, Telangana, India	1165345	71293
Palace Of Maharana Pratap, Udaipur, Rajasthan, India	Amer Fort and Palace, Jaipur, Rajasthan, India	431653	21859
Virupaksha Temple, Hampi, Karnataka, India	Mehrangarh Fort, Jodhpur, Rajasthan, India	1696450	89024
Solang Valley, Burwa, Himachal Pradesh, India	Virupaksha Temple, Hampi, Karnataka, India	2440693	137572
Jog Falls, Karnataka, India	Agra Fort, Agra, Uttar Pradesh, India	1780636	109433
Maharajah's Palace, Mysore, Karnataka, India	India Backwaters, Kochi, Kerala, India	343275	26782
Mani Bhavan Gandhi Sanghralaya, Laburnum Road, Papanas Wadi, Mumbai, Maharashtra, India	Darjeeling Rangeet Valley Passenger Ropeway, Darjeeling, West Bengal, India	2292645	130899
Hawa Mahal, Hawa Mahal Road, Badi Choupad, Pink City, Jaipur, Rajasthan, India	Kaziranga National Park, Kanchanjuri, Assam, India	2070643	120334
Red Fort, Netaji Subhash Marg, Chandni Chowk, New Delhi, Delhi, India	Kaziranga National Park, Kanchanjuri, Assam, India	1942743	114241
Golden Temple, Amritsar, Punjab, India	Khajuraho Temples, Khajuraho, Madhya Pradesh, India	1092612	60154
Khajuraho Temples, Khajuraho, Madhya Pradesh, India	Kaziranga National Park, Kanchanjuri, Assam, India	1716478	103721
Palace Of Maharana Pratap, Udaipur, Rajasthan, India	Dal Lake, Rainawari, Srinagar	1477600	87072
Solang Valley, Burwa, Himachal Pradesh, India	Kaziranga National Park, Kanchanjuri, Assam, India	2482918	150982
Konark Sun Temple, Konark, Odisha, India	Maharajah's Palace, Mysore, Karnataka, India	1624110	91628
Qutub Minar, New Delhi, Delhi, India	Marine Drive, Chowpatty, Mumbai, Maharashtra, India	1446052	71547
Palace Of Maharana Pratap, Udaipur, Rajasthan, India	Jog Falls, Karnataka, India	1483430	75441
Gandhi Smriti, New Delhi, Delhi, India	Humayun's Tomb, New Delhi, Delhi, India	7884	915
Kodaikanal Lake, Kodaikanal, Tamil Nadu, India	Ganges, Katesar, Varanasi, Uttar Pradesh, India	2291291	126332
Golden Temple, Amritsar, Punjab, India	Jog Falls, Karnataka, India	2342485	127366
Jaisalmer Fort, Amar Sagar Pol, Jaisalmer, Rajasthan, India	Ajanta Caves, Aurangabad, Maharashtra, India	1131971	59751
Jog Falls, Karnataka, India	Kaziranga National Park, Kanchanjuri, Assam, India	3281073	191077
Marina Beach, Chennai, Tamil Nadu, India	Amer Fort and Palace, Jaipur, Rajasthan, India	2100088	116513
Marina Beach, Chennai, Tamil Nadu, India	Kodaikanal Lake, Kodaikanal, Tamil Nadu, India	524358	30753
Swaminarayan Akshardham, New Delhi, Delhi, India	Virupaksha Temple, Hampi, Karnataka, India	1878205	102553
Qutub Minar, New Delhi, Delhi, India	Palace Of Maharana Pratap, Udaipur, Rajasthan, India	668476	32863
Maharajah's Palace, Mysore, Karnataka, India	Darjeeling Rangeet Valley Passenger Ropeway, Darjeeling, West Bengal, India	2633063	151651
Gandhi Smriti, New Delhi, Delhi, India	Khajuraho Temples, Khajuraho, Madhya Pradesh, India	635772	34043
Solang Valley, Burwa, Himachal Pradesh, India	Charminar, Hyderabad, Telangana, India	2099494	120606
Humayun's Tomb, New Delhi, Delhi, India	Ajanta Caves, Aurangabad, Maharashtra, India	1203393	63349
Mani Bhavan Gandhi Sanghralaya, Laburnum Road, Papanas Wadi, Mumbai, Maharashtra, India	Amer Fort and Palace, Jaipur, Rajasthan, India	1207719	60204
Solang Valley, Burwa, Himachal Pradesh, India	Red Fort, Netaji Subhash Marg, Chandni Chowk, New Delhi, Delhi, India	557572	38003
Hawa Mahal, Hawa Mahal Road, Badi Choupad, Pink City, Jaipur, Rajasthan, India	Khajuraho Temples, Khajuraho, Madhya Pradesh, India	619468	36381
Jaisalmer Fort, Amar Sagar Pol, Jaisalmer, Rajasthan, India	Itmad-ud-Daula, Agra, Uttar Pradesh, India	812251	43937
Qutub Minar, New Delhi, Delhi, India	Ganges, Katesar, Varanasi, Uttar Pradesh, India	805630	39210
Virupaksha Temple, Hampi, Karnataka, India	Khajuraho Temples, Khajuraho, Madhya Pradesh, India	1451102	83561
Khajuraho Temples, Khajuraho, Madhya Pradesh, India	Darjeeling Rangeet Valley Passenger Ropeway, Darjeeling, West Bengal, India	1196125	72016
Hawa Mahal, Hawa Mahal Road, Badi Choupad, Pink City, Jaipur, Rajasthan, India	Red Fort, Netaji Subhash Marg, Chandni Chowk, New Delhi, Delhi, India	263002	14443
Maharajah's Palace, Mysore, Karnataka, India	Sabarmati Ashram, Ahmedabad, Gujarat, India	1549132	78602
Swaminarayan Akshardham, New Delhi, Delhi, India	India Backwaters, Kochi, Kerala, India	2680755	138593
Kanha National Park, Madhya Pradesh, India	Sabarmati Ashram, Ahmedabad, Gujarat, India	1001460	57839
Kaziranga National Park, Kanchanjuri, Assam, India	Taj Mahal, Agra, Uttar Pradesh, India	1829691	107920
Gandhi Smriti, New Delhi, Delhi, India	Hawa Mahal, Hawa Mahal Road, Badi Choupad, Pink City, Jaipur, Rajasthan, India	262350	14083
Konark Sun Temple, Konark, Odisha, India	Agra Fort, Agra, Uttar Pradesh, India	1509866	84588
Mani Bhavan Gandhi Sanghralaya, Laburnum Road, Papanas Wadi, Mumbai, Maharashtra, India	Palolem Beach, Goa, India	641609	38698
Dal Lake, Rainawari, Srinagar	Darjeeling Rangeet Valley Passenger Ropeway, Darjeeling, West Bengal, India	2221797	136985
Marina Beach, Chennai, Tamil Nadu, India	Ajanta Caves, Aurangabad, Maharashtra, India	1226075	71204
Jaisalmer Fort, Amar Sagar Pol, Jaisalmer, Rajasthan, India	Mehrangarh Fort, Jodhpur, Rajasthan, India	277091	14515
Marine Drive, Chowpatty, Mumbai, Maharashtra, India	Ganges, Katesar, Varanasi, Uttar Pradesh, India	1555752	86048
Konark Sun Temple, Konark, Odisha, India	Taj Mahal, Agra, Uttar Pradesh, India	1501794	85334
Dal Lake, Rainawari, Srinagar	Charminar, Hyderabad, Telangana, India	2385560	138225
Marina Beach, Chennai, Tamil Nadu, India	Marine Drive, Chowpatty, Mumbai, Maharashtra, India	1355379	66147
Khajuraho Temples, Khajuraho, Madhya Pradesh, India	Sabarmati Ashram, Ahmedabad, Gujarat, India	1029557	54604
Red Fort, Netaji Subhash Marg, Chandni Chowk, New Delhi, Delhi, India	Marine Drive, Chowpatty, Mumbai, Maharashtra, India	1463488	71873
Humayun's Tomb, New Delhi, Delhi, India	Palace Of Maharana Pratap, Udaipur, Rajasthan, India	680677	33480
Maharajah's Palace, Mysore, Karnataka, India	Kodaikanal Lake, Kodaikanal, Tamil Nadu, India	350858	27239
Gandhi Smriti, New Delhi, Delhi, India	Sabarmati Ashram, Ahmedabad, Gujarat, India	935139	46130
Humayun's Tomb, New Delhi, Delhi, India	Taj Mahal, Agra, Uttar Pradesh, India	209181	9696
Kanha National Park, Madhya Pradesh, India	Taj Mahal, Agra, Uttar Pradesh, India	745446	42016
Marina Beach, Chennai, Tamil Nadu, India	Virupaksha Temple, Hampi, Karnataka, India	594020	38106
Virupaksha Temple, Hampi, Karnataka, India	Charminar, Hyderabad, Telangana, India	373655	23797
Palace Of Maharana Pratap, Udaipur, Rajasthan, India	Ajanta Caves, Aurangabad, Maharashtra, India	685365	39195
Itmad-ud-Daula, Agra, Uttar Pradesh, India	Konark Sun Temple, Konark, Odisha, India	1507256	84329
Humayun's Tomb, New Delhi, Delhi, India	Maharajah's Palace, Mysore, Karnataka, India	2275106	118071
Maharajah's Palace, Mysore, Karnataka, India	Charminar, Hyderabad, Telangana, India	715368	36578
Gateway Of India Mumbai, Mumbai, Maharashtra, India	Maharajah's Palace, Mysore, Karnataka, India	1048936	54243
Kanha National Park, Madhya Pradesh, India	Charminar, Hyderabad, Telangana, India	758658	43043
Gandhi Smriti, New Delhi, Delhi, India	Ganges, Katesar, Varanasi, Uttar Pradesh, India	799592	38656
Hawa Mahal, Hawa Mahal Road, Badi Choupad, Pink City, Jaipur, Rajasthan, India	Golconda Fort, Fort Road, Hyderabad, Telangana, India	1431426	82948
Agra Fort, Agra, Uttar Pradesh, India	Charminar, Hyderabad, Telangana, India	1346822	73720
Mani Bhavan Gandhi Sanghralaya, Laburnum Road, Papanas Wadi, Mumbai, Maharashtra, India	Taj Mahal, Agra, Uttar Pradesh, India	1423078	73224
Red Fort, Netaji Subhash Marg, Chandni Chowk, New Delhi, Delhi, India	Golconda Fort, Fort Road, Hyderabad, Telangana, India	1547692	83491
Kanha National Park, Madhya Pradesh, India	Jog Falls, Karnataka, India	1297964	83377
Darjeeling Rangeet Valley Passenger Ropeway, Darjeeling, West Bengal, India	Marine Drive, Chowpatty, Mumbai, Maharashtra, India	2293828	130985
Gandhi Smriti, New Delhi, Delhi, India	Taj Mahal, Agra, Uttar Pradesh, India	210930	9701
Kanha National Park, Madhya Pradesh, India	Swaminarayan Akshardham, New Delhi, Delhi, India	943134	50000
Dal Lake, Rainawari, Srinagar	Red Fort, Netaji Subhash Marg, Chandni Chowk, New Delhi, Delhi, India	834846	56230
Kodaikanal Lake, Kodaikanal, Tamil Nadu, India	Taj Mahal, Agra, Uttar Pradesh, India	2401232	126122
Dal Lake, Rainawari, Srinagar	Khajuraho Temples, Khajuraho, Madhya Pradesh, India	1488801	89734
Palace Of Maharana Pratap, Udaipur, Rajasthan, India	Kaziranga National Park, Kanchanjuri, Assam, India	2389365	135704
Golden Temple, Amritsar, Punjab, India	Palace Of Maharana Pratap, Udaipur, Rajasthan, India	1008826	52611
Hawa Mahal, Hawa Mahal Road, Badi Choupad, Pink City, Jaipur, Rajasthan, India	Palolem Beach, Goa, India	1656331	94373
Marina Beach, Chennai, Tamil Nadu, India	Mehrangarh Fort, Jodhpur, Rajasthan, India	2298665	114860
Humayun's Tomb, New Delhi, Delhi, India	Ganges, Katesar, Varanasi, Uttar Pradesh, India	797652	38601
Dal Lake, Rainawari, Srinagar	Jog Falls, Karnataka, India	2809869	161564
Maharajah's Palace, Mysore, Karnataka, India	Palolem Beach, Goa, India	532229	35631
Palace Of Maharana Pratap, Udaipur, Rajasthan, India	Konark Sun Temple, Konark, Odisha, India	1797501	103260
Swaminarayan Akshardham, New Delhi, Delhi, India	Marine Drive, Chowpatty, Mumbai, Maharashtra, India	1462447	72487
Marina Beach, Chennai, Tamil Nadu, India	Palolem Beach, Goa, India	919739	48716
India Backwaters, Kochi, Kerala, India	Marine Drive, Chowpatty, Mumbai, Maharashtra, India	1546742	78090
Kanha National Park, Madhya Pradesh, India	Khajuraho Temples, Khajuraho, Madhya Pradesh, India	374018	24694
Humayun's Tomb, New Delhi, Delhi, India	Mehrangarh Fort, Jodhpur, Rajasthan, India	594277	31121
Kaziranga National Park, Kanchanjuri, Assam, India	Sabarmati Ashram, Ahmedabad, Gujarat, India	2643816	146964
Gateway Of India Mumbai, Mumbai, Maharashtra, India	Mehrangarh Fort, Jodhpur, Rajasthan, India	988688	52124
Maharajah's Palace, Mysore, Karnataka, India	Taj Mahal, Agra, Uttar Pradesh, India	2085139	109371
Virupaksha Temple, Hampi, Karnataka, India	Agra Fort, Agra, Uttar Pradesh, India	1741529	96463
Gateway Of India Mumbai, Mumbai, Maharashtra, India	Amer Fort and Palace, Jaipur, Rajasthan, India	1209853	60618
Palace Of Maharana Pratap, Udaipur, Rajasthan, India	Maharajah's Palace, Mysore, Karnataka, India	1788727	90202
Solang Valley, Burwa, Himachal Pradesh, India	Ganges, Katesar, Varanasi, Uttar Pradesh, India	1357618	75776
